birth,death
0.0,0.023993130773305893
0.0,0.07747447490692139
0.0,0.13739854097366333
0.0,0.1483893245458603
0.0,0.16368192434310913
0.0,0.1703469306230545
0.0,0.20942296087741852
0.0,0.22117219865322113
0.0,0.23469257354736328
0.0,0.2379719763994217
0.0,0.27000564336776733
0.0,0.3169447183609009
0.0,0.325681209564209
0.0,0.333369642496109
0.0,0.3366684019565582
0.0,0.4006715416908264
0.0,0.4230613708496094
0.0,0.49293211102485657
0.0,0.6445277333259583
0.0,0.7398085594177246
0.0,0.8240055441856384
0.0,0.9047739505767822
0.0,1.0573192834854126
0.0,1.0713828802108765
0.0,1.3189771175384521
0.0,inf
